pose_loss:388.102661133 qua_loss:53.6873703003 regression_loss:11125.5761719
pose_loss:377.459106445 qua_loss:45.9652366638 regression_loss:9570.50585938
pose_loss:352.719970703 qua_loss:43.7988929749 regression_loss:9112.49804688
pose_loss:384.104553223 qua_loss:40.5402526855 regression_loss:8492.15527344
pose_loss:344.049468994 qua_loss:38.018283844 regression_loss:7947.70605469
pose_loss:359.20135498 qua_loss:36.9361839294 regression_loss:7746.43798828
pose_loss:346.628112793 qua_loss:34.097442627 regression_loss:7166.11621094
pose_loss:355.20123291 qua_loss:33.5779571533 regression_loss:7070.79248047
pose_loss:310.514892578 qua_loss:33.2558670044 regression_loss:6961.68847656
pose_loss:359.039825439 qua_loss:31.5221652985 regression_loss:6663.47314453
pose_loss:323.124176025 qua_loss:29.8671245575 regression_loss:6296.54882812
pose_loss:375.168457031 qua_loss:28.0837287903 regression_loss:5991.9140625
pose_loss:348.736846924 qua_loss:27.191078186 regression_loss:5786.95263672
pose_loss:343.996856689 qua_loss:27.1758995056 regression_loss:5779.17675781
pose_loss:410.435913086 qua_loss:26.3240013123 regression_loss:5675.23632812
pose_loss:378.767486572 qua_loss:24.8844661713 regression_loss:5355.66064453
pose_loss:373.346862793 qua_loss:24.5564460754 regression_loss:5284.63574219
pose_loss:327.632629395 qua_loss:23.137172699 regression_loss:4955.06738281
pose_loss:400.754638672 qua_loss:22.4433708191 regression_loss:4889.42871094
pose_loss:363.323791504 qua_loss:22.2205047607 regression_loss:4807.42480469
pose_loss:350.725280762 qua_loss:21.1172657013 regression_loss:4574.17822266
pose_loss:381.221710205 qua_loss:20.3583316803 regression_loss:4452.88818359
pose_loss:390.442596436 qua_loss:19.8032417297 regression_loss:4351.09082031
pose_loss:336.614990234 qua_loss:18.291185379 regression_loss:3994.85205078
pose_loss:309.671966553 qua_loss:18.8558425903 regression_loss:4080.84033203
pose_loss:371.571563721 qua_loss:18.5478153229 regression_loss:4081.13452148
pose_loss:376.713012695 qua_loss:17.7958641052 regression_loss:3935.88574219
pose_loss:395.754638672 qua_loss:17.2505607605 regression_loss:3845.86669922
pose_loss:368.520385742 qua_loss:17.0326728821 regression_loss:3775.05517578
pose_loss:339.9112854 qua_loss:16.809179306 regression_loss:3701.74731445
pose_loss:386.345397949 qua_loss:15.5897808075 regression_loss:3504.30151367
pose_loss:340.920959473 qua_loss:15.3221626282 regression_loss:3405.35351562
pose_loss:360.150817871 qua_loss:14.6670951843 regression_loss:3293.56982422
pose_loss:364.088745117 qua_loss:14.7348394394 regression_loss:3311.05664062
pose_loss:344.74118042 qua_loss:14.7283315659 regression_loss:3290.4074707
pose_loss:365.454589844 qua_loss:13.9068374634 regression_loss:3146.82202148
pose_loss:365.137817383 qua_loss:14.1290130615 regression_loss:3190.94042969
pose_loss:395.082855225 qua_loss:13.2378034592 regression_loss:3042.64355469
pose_loss:357.63180542 qua_loss:12.8299465179 regression_loss:2923.62109375
pose_loss:346.561737061 qua_loss:12.3891687393 regression_loss:2824.39550781
pose_loss:422.943725586 qua_loss:11.4684696198 regression_loss:2716.63769531
pose_loss:350.230194092 qua_loss:11.6611633301 regression_loss:2682.46289062
pose_loss:367.509735107 qua_loss:11.831035614 regression_loss:2733.71679688
pose_loss:366.279876709 qua_loss:10.9075088501 regression_loss:2547.78149414
pose_loss:331.079833984 qua_loss:10.9646577835 regression_loss:2524.01147461
pose_loss:347.42767334 qua_loss:10.5847196579 regression_loss:2464.37158203
pose_loss:386.714416504 qua_loss:10.3299093246 regression_loss:2452.69628906
